hotel_name,review,url
Courtyard Chicago Midway Airport,"We booked a room here because we had an early flight the next morning. As we were pulling up to the hotel, we received a text that our flight was canceled due to fog ☹️ as we scrambled to call the airline, it was so nice to be greeted by Sarah. She was friendly and efficient. The room was huge, clean and exactly what we needed.  ,I stay here on a regular basis. Everyone is always welcoming and goes out of their way to put the customer first.  Quiet, clean and comfortable rooms.  Easy shuttles to-from the airport and great food at the TGI Friday's attached to the hotel.  Other food choices close by within walking distance.  Can't say enough about the hotel and staff.,Every member of the staff--top to bottom--was friendly, courteous and helpful. Always had smiles on their faces. If you asked them for anything, even the smallest request, it was handled with a smile. I was their twice in the month of december due to deaths in the family and their comfort and compassion was so very welcoming. Highly recommend and will stay there whenever I can.,Pascal, Thank you for reviewing your recent stay with us, and thank you for acknowledging our great team here on property. We're pleased to know they positively impacted your visit, and we'll be sure to share your praise. We'd love to welcome you back again under better circumstances!,We recently had a flight cancelled and was scrambling for a room and called your hotel and was treated with kindness and respect. The girl at the check in heard me say I didn't even have a tooth brush and she took it upon herself to get us each a set and ask if there would be anything else she could do to help and I said I had no deodorant and she gave me a small one of those. The shuttle was very easy to catch and was there at 5 am to take us back. Room was very clean and bed was so comfy and having a nice restaurant (TGIF) attached was great since it was very cold and we didn't have to leave the building. Thanks for making a bad situation better..Highly recommend !,mailgal99, Thank you for taking the time to review your recent stay. We know how stressful a travel situation like that can be, so we're pleased to know we provided you with a great hotel experience during that time. We enjoyed having you as our guest, and we hope to welcome you back under better circumstances in the future!,This hotel is located in the hotel area of Midway airport.  Easy in and out with shuttles to the airport, and plenty of food options up and down the street.  Also have a TGIF attached for those nights when it is cold, raining, snowing in Chicago.  Rates were in-line with other hotels.  Staff were attentive and you could tell they were trying which is always good.  Small fitness center with free weights and several cardio options.,JBretteD, Thank you for taking the time to review your recent stay. We're so happy to know it was a great hotel experience for you! We enjoyed your visit and welcome you back whenever you are in the Chicago Midway area again.",<200 https://www.tripadvisor.com/ShowUserReviews-g35805-d90766-r563444976-Courtyard_Chicago_Midway_Airport-Chicago_Illinois.html>
Courtyard Chicago Midway Airport,"I stay here on a regular basis. Everyone is always welcoming and goes out of their way to put the customer first.  Quiet, clean and comfortable rooms.  Easy shuttles to-from the airport and great food at the TGI Friday's attached to the hotel.  Other food choices close by within walking distance.  Can't say enough about the hotel and staff.,Every member of the staff--top to bottom--was friendly, courteous and helpful. Always had smiles on their faces. If you asked them for anything, even the smallest request, it was handled with a smile. I was their twice in the month of december due to deaths in the family and their comfort and compassion was so very welcoming. Highly recommend and will stay there whenever I can.,Pascal, Thank you for reviewing your recent stay with us, and thank you for acknowledging our great team here on property. We're pleased to know they positively impacted your visit, and we'll be sure to share your praise. We'd love to welcome you back again under better circumstances!,We recently had a flight cancelled and was scrambling for a room and called your hotel and was treated with kindness and respect. The girl at the check in heard me say I didn't even have a tooth brush and she took it upon herself to get us each a set and ask if there would be anything else she could do to help and I said I had no deodorant and she gave me a small one of those. The shuttle was very easy to catch and was there at 5 am to take us back. Room was very clean and bed was so comfy and having a nice restaurant (TGIF) attached was great since it was very cold and we didn't have to leave the building. Thanks for making a bad situation better..Highly recommend !,mailgal99, Thank you for taking the time to review your recent stay. We know how stressful a travel situation like that can be, so we're pleased to know we provided you with a great hotel experience during that time. We enjoyed having you as our guest, and we hope to welcome you back under better circumstances in the future!,This hotel is located in the hotel area of Midway airport.  Easy in and out with shuttles to the airport, and plenty of food options up and down the street.  Also have a TGIF attached for those nights when it is cold, raining, snowing in Chicago.  Rates were in-line with other hotels.  Staff were attentive and you could tell they were trying which is always good.  Small fitness center with free weights and several cardio options.,JBretteD, Thank you for taking the time to review your recent stay. We're so happy to know it was a great hotel experience for you! We enjoyed your visit and welcome you back whenever you are in the Chicago Midway area again.,Room was fine. Quiet comfortable bed.  No issues with air temperature etc. There is a TGIFridays connected to the lobby of the hotel.  A bistro with Starbucks coffee in the morning.  Airport shuttle.  Take shuttle in the morning to the airport and ride the L to downtown.  This hotel sits among a complex of hotels. Hampton Inn Holiday Inn and at least two other Marriot Properties.,homer17401, Thank you for reviewing your recent stay with us. We're pleased to know you enjoyed your overall visit, and we hope to welcome you back again!",<200 https://www.tripadvisor.com/ShowUserReviews-g35805-d90766-r555289426-Courtyard_Chicago_Midway_Airport-Chicago_Illinois.html>
Courtyard Chicago Midway Airport,"We spent a quick night here with the family before flying out of Midway for a week.  Beats having to get up super early and drive 2 1/2 hours for a flight!  Very nice lobby and room.  Shuttle bus to airport was quick and driver friendly.,I stayed here 3 nights while in town for business. The room was very clean and comfortable. Staff were extremely friendly and helpful. I even got a little “washcloth animal” from housekeeping one day. I ate at the Bistro for breakfast twice and the classic oatmeal and coconut milk latte were delicious! Usually I like to eat at the Bistro in the evenings sometimes to but since this hotel is connected to a TGI Friday’s the Bistro is not open in the evening. I never saw anyone using the pool but it looked nice and the gym was small but I was the only one in there after work so it served its purpose. There is of course airplane noise but so close to the airport that’s expected and it didn’t bother me. I’d definitely stay here again! ,We booked a room here because we had an early flight the next morning. As we were pulling up to the hotel, we received a text that our flight was canceled due to fog ☹️ as we scrambled to call the airline, it was so nice to be greeted by Sarah. She was friendly and efficient. The room was huge, clean and exactly what we needed.  ,I stay here on a regular basis. Everyone is always welcoming and goes out of their way to put the customer first.  Quiet, clean and comfortable rooms.  Easy shuttles to-from the airport and great food at the TGI Friday's attached to the hotel.  Other food choices close by within walking distance.  Can't say enough about the hotel and staff.,Every member of the staff--top to bottom--was friendly, courteous and helpful. Always had smiles on their faces. If you asked them for anything, even the smallest request, it was handled with a smile. I was their twice in the month of december due to deaths in the family and their comfort and compassion was so very welcoming. Highly recommend and will stay there whenever I can.,Pascal, Thank you for reviewing your recent stay with us, and thank you for acknowledging our great team here on property. We're pleased to know they positively impacted your visit, and we'll be sure to share your praise. We'd love to welcome you back again under better circumstances!",<200 https://www.tripadvisor.com/ShowUserReviews-g35805-d90766-r570215495-Courtyard_Chicago_Midway_Airport-Chicago_Illinois.html>
The Congress Plaza Hotel and Convention Center,"Thank you for choosing The Congress Plaza Hotel, we are delighted to hear your visit to Chicago was nothing short from exceptional. We look forward to hosting you for a future stay!,We just went on a road trip and stayed in everything from B&B to country motel, aiming to spend below $125 night. (Congress, being in the city, cost a little more than that, but not much thanks to bargain-hunting website.) ,The Congress ranked third out of the six accommodations. The Congress was a truly old-world hotel with separate bell hops, valets, and even a dedicated person to store luggage as needed. The lobby and public areas were meant to impress.  When we went up to our room in the fourteenth floor, the elegance was still apparent, but the hallways and stairs had layers of paint. In other words, good bones in need of better makeup.  In contrast,  the room was modernized, with comfortable big beds and enough plugs. There was room to walk around furniture, which we later came to appreciate.  The bath was clean and not cramped (though the water pressure was very low.)  There were enough clean towels of an acceptable softness. In general, it was an experience to stay in this hotel of yesteryear, imagining swishing bustles and men in morning coats.,PS In-hotel parking was very expensive... we used Spot Hero to find  a lot for $35 for two days,Thank you for your feedback, we sincerely apologize for the inconveniences encountered during your stay at The Congress Plaza Hotel, we look forward to the opportunity to host you for a future stay!,Fantastic location, close to all the attractions and places to visit, the On-off bus stops at this street and there is no need for a car .  Close to restaurants and food places , all within walking distance . Hotel is old, but service is great ( although we only required service at check in) . The room is comfortable and clean and tidy and feels safe. The beds are comfortable and outside noise (traffic) is minimal, The worst points are the low water pressure in the shower, the thin walls, you can hear the next room if they are rowdy. No fridge or ammenities  to make Tea, only a coffee pot with styrophome cups, it would be an advantage to at least have ceramic/china cups. Water bottles in room at $4 per small bottle, most other hotels offer at least the 1st bottle complimentary. Towels are thin and small and nowhere to hang and dry to reuse. Pillows could be replaced too as some were very lumpy, others were flat and like cardboard.,Overall an economical place to stay close to all Chicago has to offer !,Thank you for your feedback, we sincerely apologize for the inconveniences encountered during your stay at The Congress Plaza Hotel, we look forward to the opportunity to host you for a future stay!,I have stayed at the Congress Hotel for both business and pleasure.  The location is great for both and within walking distance to everything.  I love the fact that it is older and whenever I stay, feel like I have gone back in time to a very romantic era.  The view of the lake is spectacular!!,Thank you for choosing The Congress Plaza Hotel, we are delighted to hear your visit to Chicago was nothing short from exceptional. We look forward to hosting you for a future stay!,The hotel has character, that's for sure. Older hotel, the rooms have been updated as much as they can but you can see and feel the age as you walk through the halls and ride the elevators. Clean, good staff comfortable beds, good water and lots of history. ,The location is perfect. Just watch out for the ghosts. ,Pricing varies depending on local activities. Decent value.,Thank you for choosing The Congress Plaza Hotel, we appreciate your feedback and look forward to hosting you for a future stay!,The location is great. The building's bones are pretty good. But, the management is awful and the customer service couldn't be worse.,The 1/5 review I leave is largely for them sending their housekeeping to knock early morning on all checkout rooms and scream ""housekeeping"" as they slid the bill under the door. After an exhausting three-day conference, I needed by rest, and this was an inexcusable act.,Being old-school, the building has either heat or a/c but not both simultaneously. We were met with a/c in the final days of September, which is ridiculous for Chicago, and were super cold and uncomfortable. The blankets were summer weight, which gave us nothing to stay warm. The window wouldn't open.,The a/c unity had a lot of water in it- think a bowl full of water sitting there in sight. And, probably because of that, my lungs got bothered. I assume it was mold or some bacteria. I don't feel well now.,The shower leaked onto the very cold bathroom tile floor. We called for repair and nothing happened. Later we were told that it is just like that.,The housekeeping was sketchy- not the common soft and kind vibe you'd get from a decent property.,The front desk was understaffed- often just 1 or 2 people for a 1000 room hotel (is it?).,The attendant in the entrance blew a super loud whistle at drivers that stopped too long, causing discomfort for all of us standing there awaiting a ride.,The elevators didn't work well. We'd hear them go right past our floor without opening. We'd often need to walk through a maze of hallways to get to an elevator bank that was properly operational.,The pillows sucked- and smelled.,My friends in other rooms had other complaints, including hearing tv and kids through the thin walls.,Finally, on my way out, someone mentioned to me about how this hotel is infamous for the union-busting management and a decade-long strike. I am not pro-union, I could see that the management clearly is irresponsible and uncaring to guests and workers alike.,Thank you for your feedback. I was very disappointed to read your experience during your stay with us. This level of service is certainly not acceptable and will be addressed with the concerned party. We sincerely apologize for the inconveniences encountered during your stay at The Congress Plaza Hotel.",<200 https://www.tripadvisor.com/ShowUserReviews-g35805-d87595-r528779497-The_Congress_Plaza_Hotel_and_Convention_Center-Chicago_Illinois.html>
Courtyard Chicago Midway Airport,"I stayed here 3 nights while in town for business. The room was very clean and comfortable. Staff were extremely friendly and helpful. I even got a little “washcloth animal” from housekeeping one day. I ate at the Bistro for breakfast twice and the classic oatmeal and coconut milk latte were delicious! Usually I like to eat at the Bistro in the evenings sometimes to but since this hotel is connected to a TGI Friday’s the Bistro is not open in the evening. I never saw anyone using the pool but it looked nice and the gym was small but I was the only one in there after work so it served its purpose. There is of course airplane noise but so close to the airport that’s expected and it didn’t bother me. I’d definitely stay here again! ,We booked a room here because we had an early flight the next morning. As we were pulling up to the hotel, we received a text that our flight was canceled due to fog ☹️ as we scrambled to call the airline, it was so nice to be greeted by Sarah. She was friendly and efficient. The room was huge, clean and exactly what we needed.  ,I stay here on a regular basis. Everyone is always welcoming and goes out of their way to put the customer first.  Quiet, clean and comfortable rooms.  Easy shuttles to-from the airport and great food at the TGI Friday's attached to the hotel.  Other food choices close by within walking distance.  Can't say enough about the hotel and staff.,Every member of the staff--top to bottom--was friendly, courteous and helpful. Always had smiles on their faces. If you asked them for anything, even the smallest request, it was handled with a smile. I was their twice in the month of december due to deaths in the family and their comfort and compassion was so very welcoming. Highly recommend and will stay there whenever I can.,Pascal, Thank you for reviewing your recent stay with us, and thank you for acknowledging our great team here on property. We're pleased to know they positively impacted your visit, and we'll be sure to share your praise. We'd love to welcome you back again under better circumstances!,We recently had a flight cancelled and was scrambling for a room and called your hotel and was treated with kindness and respect. The girl at the check in heard me say I didn't even have a tooth brush and she took it upon herself to get us each a set and ask if there would be anything else she could do to help and I said I had no deodorant and she gave me a small one of those. The shuttle was very easy to catch and was there at 5 am to take us back. Room was very clean and bed was so comfy and having a nice restaurant (TGIF) attached was great since it was very cold and we didn't have to leave the building. Thanks for making a bad situation better..Highly recommend !,mailgal99, Thank you for taking the time to review your recent stay. We know how stressful a travel situation like that can be, so we're pleased to know we provided you with a great hotel experience during that time. We enjoyed having you as our guest, and we hope to welcome you back under better circumstances in the future!",<200 https://www.tripadvisor.com/ShowUserReviews-g35805-d90766-r568836535-Courtyard_Chicago_Midway_Airport-Chicago_Illinois.html>
The Peninsula Chicago,"Dear kmiller8472018,,Thank you for visiting The Peninsula Chicago and for taking the time to share your review. We are beyond grateful of your kind words and are thrilled to hear that you chose to host your wedding with us. While we are pleased to hear you experienced impeccable service, we are sorry to hear that you had some negative interactions with our staff. We appreciate your feedback as it helps us to improve, and we hope to have the pleasure of welcoming you back again soon.,Warm regards,,Max Schroeder,Resident Manager,Had 3 nights here. Fantastic location near all the shops and 20mins walk to the “bean”.  ,Service here is exceptional. They are very profesional and fast.  ,Loved the room, fantastic huge, comfortable beds and a massive bathroom. ,I will stay here in my next trip again. Top quality property.   ,Dear Lyle,,Thank you for visiting The Peninsula Chicago and for sharing your review. We are thrilled to hear that you enjoyed your stay and we truly appreciate your kind comments on our guestrooms, location and service.,We look forward to welcoming you back soon!,Warm regards,,Max Schroeder,Resident Manager,We stayed there for a mini stay cation and everything was excellent. The pool was beautiful and the fitness center clean and polished! Afternoon tea is a must if you are visiting Chicago and staying here because they have the best mini deserts and the best mini sandwiches.,Dear BlerimALB,,Thank you for choosing The Peninsula Chicago for your ""mini staycation"" and for posting your thoughtful review.  We are glad you enjoyed the facilities at The Spa, and that you were able to experience Afternoon Tea in The Lobby during your stay.,We hope for the opportunity to welcome you back soon!,Warm regards,,Max Schroeder,Resident Manager,Beautiful Hotel. Rooms were very spacious I loved the automation of everything through the provided ipads. Not many downtown hotels have a pool as big and nice as the Peninsula's. I recommend this hotel highly. When I walk in I Feel like Royalty!,Dear JackieG29,,Thank you for choosing The Peninsula Chicago and for leaving your kind remarks.  We are thrilled to hear that you enjoyed the rooms as well as the pool.,We hope to have the opportunity to welcome you back in the future!,Kind regards,,Max Schroeder,Resident Manager,First, yes I am aware that The Peninsula Chicago has already received a high trip advisor rating this year. However, I’m a bit of a skeptic and don’t believe everything you see on the internet. A little background...I have been traveling all over the world on business to high end hotels for over 20 years and frankly I have...let’s just say slightly over the expectations. I’m a customer experience expert and I find room for improvement in just about every single consumer interaction. It’s a profession and hobby that I a passionate about. So, fair warning to The Peninsula Chicago, here it comes. Well done, PERFECT!!! You set a new bar for excellence from the moment a reservation is booked, the arrival, bell staff, front desk, food service (regardless of time of day or night), room presentation, anticipation of guest needs (or nice to have enhancements), management (who I had an opportunity to speak with), house keeping, and every step during and after our stay. If anyone is ever on the fence about pulling the trigger, just do it. There is nothing close to their service level in Chicago and certainly a top hotel worthy of some U.S. and world class recognition!,Dear Tminden,,Thank you for visiting The Peninsula Chicago and for sharing your kind review. We are thrilled to hear that you enjoyed your stay and we truly appreciate your kind comments about our guestrooms, food, service and staff. We hope to have the pleasure of welcoming you back soon!,Kind regards,,Max Schroeder,Resident Manager,Mid-week winter visit as part of a large travelling party. Beautifully appointed property. Well located along the Miracle Mile (and across the street from a Giordano’s ).,Rooms were fitted out as you would expect at a Peninsula...with more techie goo-gas than I’ve ever seen in a hotel room. Took a while to figure out what all the touch-pads were for actually, but everything worked well once I figured out what was what.,Staff was particularly friendly and helpful.,Dear Brian,,Thank you for visiting The Peninsula Chicago and for sharing your kind review. We are pleased to hear that you enjoyed the location, guestroom amenities and technology and the friendly staff. We hope to have the pleasure of welcoming you and your family back soon!,Kind regards,,Max Schroeder,Resident Manager",<200 https://www.tripadvisor.com/ShowUserReviews-g35805-d225105-r566532481-The_Peninsula_Chicago-Chicago_Illinois.html>
The Buckingham Club,"Hey dkonto543994, thanks for the review!  We certainly understand our facility can get a little confusing in terms of location and navigation, it's something we're actively working on and hope to have some of those changes implemented soon!  Also in the works... updates to the rooms!  We've been making some minor improvements and will continue to do so, please come stay with us again in the future and check it out, we promise you won't be disappointed! ,Really, really, really friendly staff, excellent views of city, a bit confusing parking, great value, quick continental breakfast included in room rate. Did not get to try athletic club, though have heard tremendously positive things about it. Hotel near much of downtown attractions! Will be going back for sure!,We're so happy to have had you! Thanks for staying with us and we hope you'll visit again soon.,Overall the stay was disappointing. Stayed at the hotel over the weekend, the main selling feature of the hotel was the access to the beautiful gym facilities - these were only open between 10:00 am and 3:00 pm on weekends which aren't conducive to business travelers needing to use the facilities before work or for leisure travelers looking to get an early start. The rooms were also incredibly dark even with ALL the lights on! ,Hello,,We're sorry to hear you were disappointed with your stay at The Buckingham Hotel, we strive to make each of our guests experience memorable in the most positive of ways.  Though we share a name, the Buckingham.AC fitness facility is a separate entity from the Hotel, and in such they make their own hours.   Please accept our apologies that you weren't able to take full advantage of the facilities.,I will never get tired of staying in this secret hotel! This visit our room was facing the lake, last visit the room was directly across from the Willis Tower!  The gym/spa is phenomenal and the third floor eatery as well as cocktail bar are fantastic and so convenient.  Set directly above the CBOE - it’s perfect for our needs and wants!,Well thanks Heather, we're so happy to hear that you've enjoyed your time with us!  We hope we'll always stay your favorite!,This place is amazing. I have stayed at many hotels, but this one blew us away. It isn't the typical hotel. Only 21 rooms, but wonderfully appointed rooms with a view of Chicago. All the rooms are on the 40th floor.,We think you're amazing too, Alan.  Thanks for taking the time to write us a note!,I have stayed at the Buckingham Club several times over the past several years.  On weekends you can often get a room for $200 or less.  On my recent Presidents Day weekend trip it was under $150 a night.,There are only about 20 rooms here, all ringing the 40th floor of the newer of the Chicago Board of Trade buildings.  Check in is a bit unusual as you enter the office building and check in at a small desk in the lobby.  You are then given two keys, one that allows entrance into the building and elevator, and a second that is a traditional room key.,You have to take two elevators to get to your room, which is a very minor inconvenience.,Rooms themselves are very nice with amazing Chicago views.  While rooms on the North and East sides face the city, we actually like the south facing rooms with views of the lake, river, train stations, and aircraft landing and arriving at Midway.,Location is convenient to Union Station, CTA, and loop attractions like the Willis Tower.  It is a bit far from some of the traditional tourist spots in Grant Park or the Magnificent Mile.  Also, while the neighborhood is vibrant during the business day, there are not many restaurants nearby that are open during the nights or on weekends.,Good Day,,Thank you for such a well-written and thorough review.  You covered everything from location to rooms to the views, we really appreciate feedback like this!  We look forward to having you in one of our south facing rooms in the future! ",<200 https://www.tripadvisor.com/ShowUserReviews-g35805-d498305-r568867075-The_Buckingham_Club-Chicago_Illinois.html>
La Quinta Inn & Suites Chicago - Lake Shore,"Thank you for writing a review. Many of our guests stay with us because of the proximity of hospitals. We know what a trying time that can be. Best wishes to ""he,"" for a speedy and successful recovery. You are in our thoughts.,We traveled to Chicago to visit with my hubby's mother who was also celebrating her 80th birthday (God is Good).  We decided on this hotel because we had never stayed in Hyde Park when we lived in Waukegan so we gave it a shot.  The hotel is nice, accepted my Pitbull and it is has a beautiful view of the city and Lake Michigan.,Thank you for writing a review. Waukegan, the home town of Jack Benny and Ray Bradbury! We're glad to know you enjoyed your stay with us. Best wishes to the pit bull. Please pass on our Happy birthday to mom! We hope to see you again.,We stayed here because it was close to the city, they accepted our pet and we had never stayed in Hyde Park.  The hotel is nice and we enjoyed our stay.  The breakfast needs a little work but overall it was enjoyable.,Thank you for writing a review. Hyde Park is a neighborhood in Chicago, but it is uniquely different from the rest of the city. The breakfast is about to get an overhaul, with several additions.  We're glad you enjoyed your stay. We look forward to seeing you again.,Clean room and common area, friendly staff and free parking on lakefront in Hyde Park.  Convenient to museums, McCormick Place and downtown.  Nice free breakfast.  Next to the University of Chicago.  Ample public transportation in easy walking distance.,Thanks for writing a review. You nailed our advantages to a tee. Coming soon, more breakfast options. We appreciate your business, and we look forward to hosting you again.,It was a great place to stay with a lot of fun things to do around the hotel. Room was gorgeous and would stay there again in a heart beat. Everyone should stay here and it’s only a 8 min drive to the city so you can’t go wrong,Thanks for writing a review. We're not sure about the ""8 min drive"", at least we can't guarantee that, but we're happy to know that everything worked out for you. We look forward to seeing you again.,It’s not a spectacular place, but comfortable enough. Staff is very friendly and helpful. Close to MSI and Hyde Park, covered parking available. Pets allowed as can hear them in hallway, but not in the rooms and no odors. ,Thanks for writing a review. Your kind comments were shared with our staff. We hope you'll come back to Chicago and stay with us again.",<200 https://www.tripadvisor.com/ShowUserReviews-g35805-d7173199-r556322194-La_Quinta_Inn_Suites_Chicago_Lake_Shore-Chicago_Illinois.html>
The Buckingham Club,"We're so happy to have had you! Thanks for staying with us and we hope you'll visit again soon.,Overall the stay was disappointing. Stayed at the hotel over the weekend, the main selling feature of the hotel was the access to the beautiful gym facilities - these were only open between 10:00 am and 3:00 pm on weekends which aren't conducive to business travelers needing to use the facilities before work or for leisure travelers looking to get an early start. The rooms were also incredibly dark even with ALL the lights on! ,Hello,,We're sorry to hear you were disappointed with your stay at The Buckingham Hotel, we strive to make each of our guests experience memorable in the most positive of ways.  Though we share a name, the Buckingham.AC fitness facility is a separate entity from the Hotel, and in such they make their own hours.   Please accept our apologies that you weren't able to take full advantage of the facilities.,I will never get tired of staying in this secret hotel! This visit our room was facing the lake, last visit the room was directly across from the Willis Tower!  The gym/spa is phenomenal and the third floor eatery as well as cocktail bar are fantastic and so convenient.  Set directly above the CBOE - it’s perfect for our needs and wants!,Well thanks Heather, we're so happy to hear that you've enjoyed your time with us!  We hope we'll always stay your favorite!,This place is amazing. I have stayed at many hotels, but this one blew us away. It isn't the typical hotel. Only 21 rooms, but wonderfully appointed rooms with a view of Chicago. All the rooms are on the 40th floor.,We think you're amazing too, Alan.  Thanks for taking the time to write us a note!,I have stayed at the Buckingham Club several times over the past several years.  On weekends you can often get a room for $200 or less.  On my recent Presidents Day weekend trip it was under $150 a night.,There are only about 20 rooms here, all ringing the 40th floor of the newer of the Chicago Board of Trade buildings.  Check in is a bit unusual as you enter the office building and check in at a small desk in the lobby.  You are then given two keys, one that allows entrance into the building and elevator, and a second that is a traditional room key.,You have to take two elevators to get to your room, which is a very minor inconvenience.,Rooms themselves are very nice with amazing Chicago views.  While rooms on the North and East sides face the city, we actually like the south facing rooms with views of the lake, river, train stations, and aircraft landing and arriving at Midway.,Location is convenient to Union Station, CTA, and loop attractions like the Willis Tower.  It is a bit far from some of the traditional tourist spots in Grant Park or the Magnificent Mile.  Also, while the neighborhood is vibrant during the business day, there are not many restaurants nearby that are open during the nights or on weekends.,Good Day,,Thank you for such a well-written and thorough review.  You covered everything from location to rooms to the views, we really appreciate feedback like this!  We look forward to having you in one of our south facing rooms in the future! ,If you are looking for friendliness at the front desk, a spotless clean room, and more privacy than your own home. Look no further the Buckingham Club is a terrific hotel and I will definitely continue staying here when staying in Chicago ,What a fantastic review!  Thank you kindly for the nice words about the staff and our rooms, you're always a welcome guest with us!",<200 https://www.tripadvisor.com/ShowUserReviews-g35805-d498305-r567267086-The_Buckingham_Club-Chicago_Illinois.html>
Cambria Hotel & Suites Chicago Loop - Theatre District,"Great hotel very well located. Really modern and clean rooms. Everything you need. No fancy lobby making the rate affordable. Nice bar / lunch area. The lobby is located on the 9th floor. Same price hotels I compared with were beat down places. This one is like brand new. Next door to dozens of restaurant and the Chicago River if you like to walk around.,This was our first time in Chicago, and this hotel was perfectly located.  Easy walk to the Oriental Theatre, as it is right next door.  Easy walk to Millenium Park.  Easy walk to The Art Institute.  Easy Uber to Willis Tower and Navy Pier.  The beds were comfy.  The room was quiet.  The only thing to not like about this hotel is the price of valet parking.  It is $67.00 a night.  But, it is 4 star service.  They whisk your car away.  Give you a ticket, and when you are ready to leave, you just text the number on the voucher that they give you and they park your car right in front of the hotel for you.  I would stay here again if driving to Chicago and seeing a show.,Wow! I can't say enough good about this hotel.  The rooms are amazing and modern, street noise completely blocked.  And when we had a minor issue with housekeeping Alec, the supervisor went above and beyond.  Not only got us fresh towels but walked us to our room carrying them for us! He was super accommodating and recommended some amazing adventures for us.  We had such a nice stay we are already planning to come back.  Albeit, I hope Alec has been promoted by then because this guy is what you hope every hotel supervisor is like! ,This Hotel was very clean, and an amazing walking distance from anywhere you wanted to go. Staff was amazing, great housekeeping and very helpful front desk, especially Alec. He gave us amazing restaurant recommendations and booked my mom a massage. The breakfast was delicious as well. I would highly recommend this hotel for any occasion. We personally ubered everywhere we went, so I don’t have much knowledge about parking, but the hotel itself was amazing. I definitely want to come back.,Heather,Thank you for staying with us at the Cambria Chicago Loop Theatre District!  We are glad you had such an amazing time at our location.  We are very pleased Alec was able to help you so much with everything!  We hope to see you again in the near future.,Conveniently located in theater district. Comfortable rooms. ,Terrible valet service. Even when we text to request car 40 minutes ahead we still didn't get our car. ,Being late put a sour taste on the entire stay and the staff didn't really seem to care ,So stay here but park elsewhere ,Hi Lorraine,We are sorry to hear that you had terrible valet service and that the staff didn't seem to care.  Your feedback is very important to us and we will use this to make sure we improve this experience for all of our guest. We do hope that you will stay with us again so we can show you the quality of service we pride ourselves in having.",<200 https://www.tripadvisor.com/ShowUserReviews-g35805-d12222140-r571529292-Cambria_Hotel_Suites_Chicago_Loop_Theatre_District-Chicago_Illinois.html>
